anio,exportaciones_totales_usd_millones,petroleras_usd_millones,no_petroleras_usd_millones,tradicionales_usd_millones,no_tradicionales_usd_millones,fuente
2014,25732.3,13302.5,12429.8,6341.7,6088.1,BCE Balanza Comercial enero-diciembre 2014
2015,18330.6,6660.3,11670.3,,,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2015
2016,16797.7,5459.2,11338.5,6457.3,4881.2,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2016
2017,19122.5,6913.6,12208.9,7123.3,5085.6,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2017
2018,21606.1,8801.7,12804.4,7595.0,5209.5,BCE Balanza Comercial enero-diciembre 2018
2019,22329.4,8679.6,13649.8,8339.1,5310.7,BCE Balanza Comercial por Productos enero-diciembre 2021 tabla historica 2019
2020,20355.4,5250.4,15105.0,8812.6,6292.4,BCE Balanza Comercial por Productos enero-diciembre 2021 tabla historica 2020
2021,26699.0,8607.0,18092.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026
2022,32658.0,11587.0,21071.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026
2023,31126.0,8952.0,22175.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026
2024,34421.0,9572.0,24849.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026
2025,37152.0,7750.0,29402.0,,,BCE Balanza Comercial por Productos diciembre 2025
