anio,exportaciones_totales_usd_millones,petroleras_usd_millones,no_petroleras_usd_millones,tradicionales_usd_millones,no_tradicionales_usd_millones,fuente,participacion_petrolera_pct,participacion_no_petrolera_pct,variacion_total_interanual_pct,variacion_petrolera_interanual_pct,variacion_no_petrolera_interanual_pct,razon_no_petrolera_petrolera
2014,25732.3,13302.5,12429.8,6341.7,6088.1,BCE Balanza Comercial enero-diciembre 2014,51.7,48.3,,,,0.93
2015,18330.6,6660.3,11670.3,,,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2015,36.33,63.67,-28.76,-49.93,-6.11,1.75
2016,16797.7,5459.2,11338.5,6457.3,4881.2,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2016,32.5,67.5,-8.36,-18.03,-2.84,2.08
2017,19122.5,6913.6,12208.9,7123.3,5085.6,BCE Balanza Comercial enero-diciembre 2018 tabla historica 2017,36.15,63.85,13.84,26.64,7.68,1.77
2018,21606.1,8801.7,12804.4,7595.0,5209.5,BCE Balanza Comercial enero-diciembre 2018,40.74,59.26,12.99,27.31,4.88,1.45
2019,22329.4,8679.6,13649.8,8339.1,5310.7,BCE Balanza Comercial por Productos enero-diciembre 2021 tabla historica 2019,38.87,61.13,3.35,-1.39,6.6,1.57
2020,20355.4,5250.4,15105.0,8812.6,6292.4,BCE Balanza Comercial por Productos enero-diciembre 2021 tabla historica 2020,25.79,74.21,-8.84,-39.51,10.66,2.88
2021,26699.0,8607.0,18092.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026,32.24,67.76,31.16,63.93,19.77,2.1
2022,32658.0,11587.0,21071.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026,35.48,64.52,22.32,34.62,16.47,1.82
2023,31126.0,8952.0,22175.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026,28.76,71.24,-4.69,-22.74,5.24,2.48
2024,34421.0,9572.0,24849.0,,,BCE Evolucion de la Economia Ecuatoriana 2025 perspectivas 2026,27.81,72.19,10.59,6.93,12.06,2.6
2025,37152.0,7750.0,29402.0,,,BCE Balanza Comercial por Productos diciembre 2025,20.86,79.14,7.93,-19.03,18.32,3.79
