producto,clasificacion,valor_2024_usd_millones,valor_2025_usd_millones,variacion_2025_pct,participacion_2025_pct,fuente
Camarón,Tradicional,6991.7,8401.3,20.2,28.6,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Cacao y elaborados,Tradicional,3617.9,4668.3,29.0,15.9,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Banano y plátano,Tradicional,3838.7,4262.4,11.0,14.5,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Atún y pescado,Tradicional,333.1,348.2,4.5,1.2,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Café y elaborados,Tradicional,145.0,150.5,3.8,0.5,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Productos mineros,No tradicional,3074.9,4163.3,35.4,14.2,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Enlatados de pescado,No tradicional,1676.0,1848.0,10.3,6.3,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Flores naturales,No tradicional,1016.0,1044.7,2.8,3.6,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Fruta,No tradicional,371.3,494.1,33.1,1.7,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
Madera,No tradicional,439.5,451.1,2.6,1.5,BCE Balanza Comercial por Productos enero-diciembre 2025 tabla 2.2
